,Selfies
4841,C N Branch1 C C C@@H1 C =Branch1 C =O C Branch2 Ring1 Ring2 C =Branch1 C =O N C N C C N Branch1 Ring2 C C O C C Ring1 =Branch2 =C Branch1 C O C@@ Branch1 C O C =Branch1 C =O C =C Branch1 C O C =C Branch1 C O C =C C =C Ring1 #Branch1 C@@ Branch1 C C Branch1 C O C@H1 Ring1 =C C C@@H1 Ring2 Ring2 #Branch1 Ring2 Ring1 Ring2
3919,C O C =Branch1 C =O C C@H1 Branch2 Ring1 Ring2 C =C C Branch1 Ring1 O C =C C =Branch1 Ring2 =C Ring1 Branch2 O C O Ring1 =Branch1 C O C Branch2 Ring1 #Branch2 C N C C@@H1 C C@H1 Branch1 Ring2 C Ring1 =Branch1 C =C C =C C =Branch1 C =O N Ring1 #Branch1 C Ring1 N =C C =Branch1 C =O C =Ring2 Ring1 =Branch1 O
6579,C C@@H1 O C@@H1 Branch2 Branch1 Branch1 O C@H1 C C C@ Branch1 C C C@@H1 Branch2 Ring2 Branch1 C C C@@H1 C@@H1 Ring1 #Branch1 C C@H1 Branch1 C O C@@ Branch1 C C C@@H1 Branch1 O C =C C =Branch1 C =O O C Ring1 =Branch1 C C C@@ Ring1 P Ring1 N O C Ring2 Ring1 O C C@@H1 Branch1 C O C@@H1 Ring2 Ring2 Ring1 O C@@H1 C C@H1 Branch1 C O C@@H1 Branch2 Ring1 Ring1 O C@@H1 C C@H1 Branch1 C O C@@H1 Branch1 C O C@H1 Branch1 C C O Ring1 =Branch2 C@H1 Branch1 C C O Ring2 Ring1 C
124,C C Branch1 C C Branch1 C C N C =Branch1 C =O C C C C C C C C Ring1 =Branch1 C N Ring1 #Branch2 C C Branch1 C O C Branch1 #Branch2 C C =C C =C C =C Ring1 =Branch1 N C =Branch1 C =O C Branch1 #Branch1 C C Branch1 C N =O N C =Branch1 C =O C =C C =C C =C C =C C Ring1 =Branch1 =N Ring1 #Branch2
3319,C O /N =C Branch2 Ring1 =Branch2 \C =Branch1 C =O N C C =Branch1 C =O N Branch1 Branch2 O C C =Branch1 C =O O C Ring1 #Branch2 C C =C S C Branch1 C N =N Ring1 =Branch1
4643,O =C Branch1 S C C =C C =C Branch1 C Cl C Branch1 C Cl =C Ring1 Branch2 N C C N N =C N =C Ring1 Branch1 C Ring1 =Branch2 C N C C C C Ring1 Branch1
4957,C C@ C C C@H1 C@@H1 Branch1 P C C C =C C =Branch1 C =O C C C@@ Ring1 #Branch1 Ring1 O C C@@H1 Ring1 S C C C@ Ring2 Ring1 Ring1 Branch1 C O C =Branch1 C =O C O
4754,C C Branch1 C C O C@@H1 C C C C C@H1 Branch1 C F C =C C =Branch1 C =O C =C C@ Ring1 #Branch1 Branch1 C C C@@ Ring1 =N Branch1 C Cl C@@H1 Branch1 C Cl C C@ Ring2 Ring1 Ring1 Branch1 C C C@ Ring2 Ring1 #Branch1 Branch1 #Branch1 C =Branch1 C =O C O O Ring2 Ring1 #C
5323,C N+1 Branch1 C C C C C =Branch2 Ring1 Ring2 =C Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 C =C C =C C =C Ring1 =Branch1 C C Ring2 Ring1 Ring2
6859,C =C C N C C C@ C =C C =C C Branch1 C O =C Ring1 #Branch1 O C@@H1 Ring1 #Branch2 C@ Branch1 Ring1 O C C =C C@ Ring1 S Branch1 #C C C@@H1 Ring1 Branch2 C@ Branch1 C C Branch1 C O C C C C@H1 Ring2 Ring1 N C Ring2 Ring1 Branch2
887,C C Branch1 C C Branch1 C C N C C C Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 C C Ring2 Ring1 C
6075,C C Branch1 C C Branch1 C C C C =Branch1 C =O O C C =Branch1 C =O C@@ Branch1 C O C C C@@H1 C@H1 C C C =C C =Branch1 C =O C =C C@@ Ring1 #Branch1 Branch1 C C C@@H1 Ring1 N C@H1 Branch1 C O C C@@ Ring1 P Ring2 Ring1 Branch1 C
6918,C C =Branch1 C =O O C@@H1 C@H1 Branch1 N N+1 Branch1 C C C C C C C Ring1 #Branch1 C C@@H1 C@@H1 C C C@@H1 C C@@H1 Branch1 #Branch1 O C Branch1 C C =O C@@H1 Branch1 =Branch2 N C C C C C Ring1 =Branch1 C C@ Ring1 S Branch1 C C C@@H1 Ring2 Ring1 Branch1 C C C@@ Ring2 Ring2 Ring1 Ring2 Ring1 =Branch2 C
3009,C C C C C C C Branch1 C C Branch1 C C C =C C Branch1 C O =C C =Branch1 Ring2 =C Ring1 #Branch1 O C Branch1 C C Branch1 C C C@H1 C C C =Branch1 C =O C C@H1 Ring1 =C Ring1 #Branch1
863,C C N C =Branch1 Branch2 =N C C Branch1 C F F N C =C C =C C Branch1 C Cl =C Ring1 #Branch1 Ring1 S
426,C C C C N Branch2 Ring1 N C C C@H1 C C C N Ring1 Branch1 S =Branch1 C =O =Branch1 C =O C =C C =C C Branch1 C O =C Ring1 #Branch1 C C Ring2 Ring1 #Branch1
4970,C C =C C =C C =C Ring1 =Branch1 N C Branch1 O /C =C \C =C C =C C =N Ring1 =Branch1 =N C =C C =C C =C Ring1 =Branch1 C Ring2 Ring1 C =O
2868,C C Branch1 C C S C@H1 C Branch1 S N C =Branch1 C =O C S C =C C =C C =C Ring1 =Branch1 C =Branch1 C =O N Ring1 S C@H1 Ring2 Ring1 Ring2 C =Branch1 C =O O
7064,C C C =Branch1 C =O O C@@ Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 C C N Branch1 C C C C@@H1 Ring1 =N C C
5358,N C Branch2 Ring2 =Branch1 C C =C C Branch1 C I =C Branch2 Ring1 Ring1 O C =C C Branch1 C I =C Branch1 C O C Branch1 C I =C Ring1 =Branch2 C Branch1 C I =C Ring2 Ring1 C C =Branch1 C =O O
1309,C C Branch1 #Branch2 C C =C C =C C =C Ring1 =Branch1 N O
7594,C C =N N =C Branch2 =Branch1 Branch1 S C C =C Branch2 Ring1 C C =Branch1 C =O O C C O C =Branch1 C =O O C =Ring1 =Branch1 C N C =Branch1 C =O C@H1 Branch2 Ring1 O N C =Branch1 C =O C@H1 Branch1 O O C =Branch1 C =O C@H1 Branch1 C C N C =C C =C C =C Ring1 =Branch1 C@@H1 Ring2 Ring1 Branch1 S C Ring2 Ring2 Ring2 S Ring2 Ring2 O
3357,C O C Branch2 Ring1 C N C =Branch1 C =O C S C C@@H1 Branch1 C N C =Branch1 C =O O C =Branch1 C =O N C Branch1 =Branch1 C =Branch1 C =O O =C Branch1 O C S C =N N =N N Ring1 Branch1 C C S C@H1 Ring1 P Ring2 Ring1 #C
2265,F C =C C =C Branch2 Ring1 #Branch2 C@@H1 C C N C C@H1 Ring1 =Branch1 C O C =C C =C C =Branch1 Ring2 =C Ring1 =Branch1 O C O Ring1 =Branch1 C =C Ring2 Ring1 #Branch1
1247,C C Branch1 C C C Branch1 O C C C C C C =Branch1 C =O O N C C =C C =C Branch1 C F C =C Ring1 #Branch1
7281,C N C =Branch1 C =O C@@H1 Branch1 C O N =C Branch1 #Branch2 C =C C =C C =C Ring1 =Branch1 Cl C =C C Branch1 C Cl =C C =C Ring1 #Branch1 Ring2 Ring1 Branch1
3432,C O C =C C =C Branch2 Ring1 =Branch2 N Branch1 =C C =N C Branch1 C C =C Branch1 C C S Ring1 #Branch1 S Branch1 C C =Branch1 C =O =O C =C Ring2 Ring1 C C N C@H1 C C C N C@H1 Ring1 =Branch1 C =C C =C C =C Ring1 =Branch1
3288,C N C@@H1 C@H1 Branch2 Branch1 Branch1 O C@@H1 C Branch2 Ring1 P O C@@H1 C@@H1 Branch1 C O C@@H1 Branch1 C O C@@H1 Branch1 #Branch1 N C =Branch1 C =N N C@H1 Branch1 C O C@@H1 Ring1 =N N C =Branch1 C =N N O C@@H1 Branch1 C C C Ring2 Ring1 Branch2 Branch1 C O C O O C@@H1 Branch1 Ring1 C O C@@H1 Branch1 C O C@H1 Ring2 Ring2 Branch1 O
7798,O =C Branch1 C O C =C C =C N =C Ring1 =Branch1
4892,C O C@@ Branch1 =N N C =Branch1 C =O C S C Branch1 C F F C =Branch1 C =O N C Branch1 =Branch1 C =Branch1 C =O O =C Branch1 =N C S C =N N =N N Ring1 Branch1 C C O C O C@@H1 Ring2 Ring1 Ring1 Ring2 Ring1 =C
748,C C O C =Branch1 C =O N C =C C =C Branch1 Branch2 C Branch1 C N =N Ring1 #Branch1 N =C Branch2 Ring1 C C N Branch1 C C C =C C =C Branch1 Ring1 O C C =C Ring1 Branch2 C N Ring2 Ring1 Ring2
5951,O =P Branch1 C O Branch1 C O C Branch1 C O Branch1 =Branch2 C N C =C N =C Ring1 Branch1 P =Branch1 C =O Branch1 C O O
1791,C N Branch1 N C /C =C /C =C C =C C =C Ring1 =Branch1 C C O C Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 C =C C =C C =C Ring1 =Branch1
3456,C O C =C C =C C =C Ring1 =Branch1 O C@@H1 C@@H1 Branch1 C O C =C C@@H1 C Branch1 Ring2 C Ring1 N N Branch1 C C C C C Ring1 S Ring1 Branch2 Ring1 =N
635,F C =C O C =C F
7465,C C@@H1 Branch1 Ring1 N N C =C C =C C =C Ring1 =Branch1
3815,C =C C =C Branch2 Ring1 Branch1 C C@@H1 N C C C =C Ring1 =Branch1 NH1 C =C C =C C =C Ring1 =Branch2 Ring1 =Branch1 C =C Ring2 Ring1 Ring2
6851,C =C C =C Branch1 =Branch1 C =Branch1 C =O O N C =Branch1 C =O C@H1 Branch2 Ring1 Branch1 N C =Branch1 C =O C =Branch1 Ring1 =N O C =C S C Branch1 C N =N Ring1 =Branch1 C@@H1 Ring1 P S C Ring2 Ring1 Branch2
7210,C C C@@ C C N Branch1 #Branch1 C C C C Ring1 Ring1 C@@H1 Branch1 #C C C =C C =C Branch1 C O C =C Ring1 #Branch1 Ring1 P C Ring2 Ring1 C Branch1 C C C
2878,C C Branch1 C C S C@H1 C Branch2 Ring1 C N C =Branch1 C =O C@@H1 Branch1 C N C =C C =C C =C Ring1 =Branch1 C =Branch1 C =O N Ring1 S C@H1 Ring2 Ring1 Ring2 C =Branch1 C =O O
5123,C C Branch1 C C N C C Branch1 C O C =C C Branch1 C O =C C Branch1 C O =C Ring1 Branch2
2790,C C Branch1 C C Branch1 C C C =C C =C Branch2 Ring2 #Branch2 C@@H1 Branch1 C O C C C N C C C Branch2 Ring1 #Branch1 C Branch1 C O Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 C =C C =C C =C Ring1 =Branch1 C C Ring2 Ring1 Ring2 C =C Ring2 Ring1 #C
3195,C N Branch1 C C C@@H1 C Branch1 C O =C Branch1 =Branch1 C Branch1 C N =O C =Branch1 C =O C Branch1 C O C Branch1 C O =C C =Branch1 C =O C =C Branch1 C O C =C C =C Ring1 #Branch1 C Branch1 C C Branch1 C O C@@H1 Ring1 =C C@H1 Branch1 C O C@H1 Ring2 Ring1 =C Ring2 Ring1 Branch1
5767,C N =C Branch1 C N N C =Branch1 C =O N C =C Branch1 C C C =C C =C Ring1 #Branch1 C
5839,C C =C C =C N+1 Branch1 C C =C C Ring1 #Branch1 =C Branch1 C C C =C Ring1 N NH1 C =C C =C Branch1 C O C =C Ring1 #Branch1 Ring1 #Branch2
4268,C C C =C C =Branch1 C =O C =C Ring1 #Branch1 C Branch1 C Cl =C C C Ring1 N C Branch1 C O C C Branch1 C C C Ring1 Branch2 C C C Ring1 =Branch1 Branch1 C O C =Branch1 C =O C O
5197,C C C C C O C =Branch1 C =O N C =N C =Branch1 C =O N Branch1 #C C O C Branch1 C C C Branch1 C O C Ring1 #Branch1 O C =C Ring1 #C F
4972,C C =N C =C Branch2 Ring1 Branch1 C O C =Branch1 C =O C C C =Branch1 C =O O C C N Branch1 C C C C Branch1 Ring1 C O =C Ring2 Ring1 =Branch1 O
1008,C N Branch1 C C C C C =C C =C C =C C =C Ring1 =Branch1 C =C C =C C =C C =C Ring1 =Branch1 Ring1 #C
5648,C C Branch2 Ring2 C O C O C C N Branch1 N C C =N NH1 C =Branch1 C =O NH1 Ring1 =Branch1 C Ring1 =N C =C C =C Branch1 C F C =C Ring1 #Branch1 C =C C Branch1 =Branch2 C Branch1 C F Branch1 C F F =C C Branch1 =Branch2 C Branch1 C F Branch1 C F F =C Ring1 =C
2062,C O C =C C =C C =Branch1 Ring2 =C Ring1 =Branch1 N Branch1 N C C@H1 Branch1 C C C N Branch1 C C C C =C C =C C =C Ring1 =Branch1 S Ring2 Ring1 C
1694,C C C =C Branch1 C O C =Branch1 C =O C =C N Ring1 Branch2 C C
1747,C N Branch1 C C C C C N C =C C =C C =C Ring1 =Branch1 C Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 =N C =C C =C N =C Ring1 =Branch1 Ring2 Ring1 Branch1
7111,C C C N C C@@H1 Branch1 Ring2 C S C C C@H1 C =C C =C C NH1 C =C Branch1 =Branch1 C Ring1 =Branch2 =Ring1 Branch1 C C@H1 Ring1 N Ring2 Ring1 Ring1
7228,C C C@H1 N C =Branch1 C =O C@H1 C C C N Ring1 Branch1 C =Branch1 C =O C@@H1 Branch1 #Branch2 C C =C C =C C =C Ring1 =Branch1 N C =Branch1 C =O C@@H1 Branch1 #Branch1 C C Branch1 C C C N C =Branch1 C =O C@@H1 Branch1 Branch1 C C C N N C =Branch1 C =O C@H1 Branch1 =Branch1 C Branch1 C C C N C =Branch1 C =O C@H1 C C C N Ring1 Branch1 C =Branch1 C =O C@@H1 Branch1 #Branch2 C C =C C =C C =C Ring1 =Branch1 N C =Branch1 C =O C@@H1 Branch1 #Branch1 C C Branch1 C C C N C =Branch1 C =O C@@H1 Branch1 Branch1 C C C N N C Ring2 =Branch1 =C =O
2832,C C Branch1 O C@H1 Branch1 C C O C Branch1 C N =O C@H1 Branch1 C C O C Branch1 C N =O
6744,O =C C C C@@ Branch1 P C C C =Branch1 C =O C =C C =C C =C Ring1 =Branch1 Ring1 O C =Branch1 C =O N Ring1 P
7677,O =C C C@H1 Branch1 N C =C C =C C Branch1 C Br =C Ring1 #Branch1 C =Branch1 C =O N Ring1 =N
5567,C #C C Branch1 C O C C C C C C C =C C Branch1 Ring1 O C =C C =C Ring1 Branch2 C Ring1 N C C C Ring1 S Ring2 Ring1 Ring2 C
1242,C C Branch1 C C =C C N C C C@@ Branch1 C C C =C C Branch1 C O =C C =C Ring1 #Branch1 C C@@H1 Ring1 =C C@H1 Ring1 N C
879,C C =C C =C Branch1 C O C Branch2 Ring2 Ring1 C N C Branch1 #C N C C C N Branch1 Ring2 C C N C C Ring1 =Branch2 =N C =C Branch1 C C C =C C =C Ring1 #Branch1 Ring2 Ring1 Ring2 =N Ring2 Ring1 N
4288,C C =C C Branch1 C O C C =Branch1 C =O C C =N C =Branch1 Branch1 =C O Ring1 Branch1 C =Branch1 C =O N C C C =C Ring1 Branch1 C =Branch1 C =O O C Branch1 =Branch1 C Branch1 C C C C Branch1 C C C =C C =Branch1 C =O N C C =C Ring2 Ring2 Branch1
2527,O C C C N Branch2 Ring1 Ring2 C =C C =C Branch1 #Branch2 C =C C =C C =C Ring1 =Branch1 Cl N =N Ring1 =N C C Ring2 Ring1 Ring1
4055,C C =C C =C NH1 C Branch2 Ring1 Branch1 C C C =Branch1 C =O N C@H1 Branch1 C C C C =C N =C C =N Ring1 =Branch1 =N C Ring2 Ring1 Ring1 =C Ring2 Ring1 #Branch1 C
3429,C O C =C C =C Branch2 Ring1 =Branch1 C C N C C N Branch1 #Branch2 C =C C =C C =C Ring1 =Branch1 Cl C C Ring1 =N C =C Ring2 Ring1 Branch1 O C
5459,C C Branch1 C C C C@H1 Branch2 Branch2 =Branch1 N C =Branch1 C =O C@@H1 Branch1 O C O C Branch1 C C Branch1 C C C N C =Branch1 C =O C@H1 Branch1 =N C C =C C =C Branch1 C O C =C Ring1 #Branch1 N C =Branch1 C =O C@H1 Branch1 Ring1 C O N C =Branch1 C =O C@H1 Branch1 #C C C =C NH1 C =C C =C C =C Ring1 =Branch2 Ring1 =Branch1 N C =Branch1 C =O C@H1 Branch1 =Branch2 C C =C N =C NH1 Ring1 Branch1 N C =Branch1 C =O C@@H1 C C C =Branch1 C =O N Ring1 =Branch1 C =Branch1 C =O N C@@H1 Branch1 #Branch2 C C C N =C Branch1 C N N C =Branch1 C =O N C C C C@H1 Ring1 Branch1 C =Branch1 C =O N N C Branch1 C N =O
3645,C N C =Branch1 C =O C =C Branch2 Ring1 N N =C N Ring1 Branch1 C C N C C@@H1 Branch1 C O C =C C =C Branch1 C O C Branch1 C O =C Ring1 Branch2 N Branch1 C C C Ring2 Ring1 =Branch2 =O
3598,C C =C C =Branch1 C =O N Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 NH1 Ring1 N
745,F C Branch1 C F Branch1 C F C C C Branch1 C Cl Br
1438,C C C =Branch1 C =O O C@ Branch1 Branch2 C =Branch1 C =O S C Cl C@H1 Branch1 C C C C@H1 C C C@H1 Branch1 C F C =C C =Branch1 C =O C =C C@ Ring1 #Branch1 Branch1 C C C@@ Ring1 =N Branch1 C F C@@H1 Branch1 C O C C@@ Ring2 Ring1 Ring1 Ring2 Ring1 N C
2802,C C Branch1 C C C Branch1 C O C C N C C@H1 C =C C =C C =C Ring1 =Branch1 C C C =C C =C C =Branch1 =Branch1 =C Ring1 =Branch1 Ring1 #C C@@H1 Ring2 Ring1 C C Ring2 Ring1 #Branch1
5159,C C =C Branch1 =Branch1 C =Branch1 C =O O N C =Branch1 C =O C Branch2 Ring1 C N C =Branch1 C =O C Branch1 C N C =C C =C C =C Ring1 =Branch1 C Ring1 S S C Ring2 Ring1 #Branch1
764,Cl C =C C =C C =Branch1 Ring2 =C Ring1 =Branch1 C@H1 C N C C@@H1 Ring1 Branch1 C =C C =C C =C Ring1 =Branch1 O Ring1 #C
1005,O =C Branch2 Ring2 Ring2 N C C C C N C C C Branch2 Ring1 Ring2 O C =C C =C C Branch1 =Branch2 C Branch1 C F Branch1 C F F =C Ring1 #Branch2 C C Ring1 P C =C C =C Branch1 C Br C =C Ring1 #Branch1
1880,C N C C@@H1 Branch1 =C N S =Branch1 C =O =Branch1 C =O N Branch1 C C C C C@@H1 C =C C =C C =C Ring1 =Branch1 C =Branch1 =Branch1 =C N Ring1 Branch1 C C C@H1 Ring1 =N Ring2 Ring1 Branch2
857,C O C =C C =C C =C Ring1 =Branch1 O C C Branch1 C O C =C C C Branch1 Ring2 C Ring1 N N Branch1 C C C C C Ring1 S Ring1 Branch2 Ring1 =N
3616,C C C =N N Branch1 =N C =C Branch1 C Cl C =C C =C Ring1 #Branch1 Cl C =Ring1 =N C =Branch1 C =O N C C =Branch1 C =O N C@H1 Ring1 Branch1 S C Branch1 C C Branch1 C C C@@H1 Ring1 #Branch1 C =Branch1 C =O O
4984,N C C@@H1 O C@H1 Branch2 Branch1 Branch2 O C@H1 C@H1 Branch1 Ring1 C O O C@H1 Branch2 Ring2 #Branch1 O C@@H1 C@@H1 Branch1 C O C@H1 Branch1 C N C C@H1 Branch1 C N C@H1 Ring1 =Branch2 O C@H1 O C@H1 Branch1 Ring1 C N C@@H1 Branch1 C O C@H1 Branch1 C O C@H1 Ring1 #Branch2 N C@H1 Ring2 Ring1 =N O C@H1 Branch1 C N C@@H1 Branch1 C O C@@H1 Ring2 Ring2 #Branch1 O
6235,C C C C@H1 O C@H1 C C@@H1 C@H1 C C C =C C =Branch1 C =O C =C C@@ Ring1 #Branch1 Branch1 C C C@@H1 Ring1 N C@H1 Branch1 C O C C@ Ring1 P Branch1 C C C@@ Ring2 Ring1 Branch1 Branch1 #Branch1 C =Branch1 C =O C O O Ring2 Ring1 N
5227,C C O C =Branch1 C =O C =C Branch1 C C N C Branch1 C C =C Branch1 Branch2 C =Branch1 C =O O C C C Ring1 =N C =C C =C C =C Ring1 =Branch1 C =C C =Branch1 C =O O C Branch1 C C Branch1 C C C
6372,C N Branch1 C C C =C C =C Branch1 C O C =C Ring1 #Branch1 C C@H1 C C@H1 C@@H1 Branch1 =Branch1 N Branch1 C C C C =Branch1 C =O C Branch1 =Branch1 C Branch1 C N =O =C Branch1 C O C@ Ring1 =C Branch1 C O C =Branch1 C =O C Ring2 Ring1 Ring2 =C Ring2 Ring1 Branch2 O
6979,C C Branch1 C C C C@@H1 Branch1 =Branch1 N Branch1 C C C C Branch1 N C =C C =C Branch1 C Cl C =C Ring1 #Branch1 C C C Ring1 O
3655,F C Branch1 C F O C@@H1 Branch1 C F C Branch1 C F Branch1 C F F
5756,C N Branch1 C C C C O C =C C =C Branch2 Ring1 #Branch2 /C =Branch1 #C =C Branch1 Ring2 /C C Cl C =C C =C C =C Ring1 =Branch1 C =C C =C C =C Ring1 =Branch1 C =C Ring2 Ring1 #Branch1
4598,C C O N =C Branch1 =N C =C Branch1 C Cl C =C C =C Ring1 #Branch1 Cl C =Ring1 =N C =Branch1 C =O N C C =Branch1 C =O N C Ring1 Branch1 S C Branch1 C C Branch1 C C C Ring1 #Branch1 C =Branch1 C =O O
5306,C O C =C C =C Branch2 Ring1 S C Branch1 C Cl =C Branch1 =N C =C C =C Branch1 Ring1 O C C =C Ring1 Branch2 C =C C =C Branch1 Ring1 O C C =C Ring1 Branch2 C =C Ring2 Ring1 =Branch2
3051,C C C C@H1 Branch1 Ring1 C C C Branch1 Ring1 C C C =Branch1 C =O N C =Branch1 C =S N C Ring1 #Branch2 =O
3963,C O C =C C =C Branch2 Ring1 S C@@H1 Branch2 Ring1 Ring1 N C =Branch1 C =O C C =C N =C C =C N Ring1 =Branch1 N =Ring1 =Branch2 C C C Branch1 C O C Ring1 Branch1 C =N Ring2 Ring1 Branch2
4443,C N Branch1 C C C C =Branch1 C =O C Branch1 =Branch1 C Branch1 C N =O =C Branch1 C O C Branch1 C O C =Branch1 C =O C =C Branch1 C O C =C Branch1 C O C =C C Branch1 C Cl =C Ring1 Branch2 C Branch1 C O C Ring1 =C C C Ring2 Ring1 =N Ring2 Ring1 Ring2
1451,C C C Branch1 C C Branch1 #Branch2 S =Branch1 C =O =Branch1 C =O C C S =Branch1 C =O =Branch1 C =O C C
4396,C C C C C C C C C C C C C C =Branch1 C =O O C C =C C C C C =C C =C Branch1 O O C C =C C =C C =C Ring1 =Branch1 C =C Ring1 =C C Ring2 Ring1 C Branch1 Branch2 C C N Ring2 Ring1 Ring2 C C Ring2 Ring1 #Branch2 O Ring1 =Branch2
4661,O C C =C C =C C =C Ring1 =Branch1 O C O C Branch1 Ring1 C O C Branch1 C O C Branch1 C O C Ring1 #Branch2 O
1433,C C C =Branch1 C =O O C@ Branch1 #Branch1 C =Branch1 C =O C Cl C@@H1 Branch1 C C C C@H1 C@@H1 C C C =C C =Branch1 C =O C =C C@ Ring1 #Branch1 Branch1 C C C@@ Ring1 N Branch1 C F C@@H1 Branch1 C O C C@@ Ring2 Ring1 C Ring2 Ring1 #Branch2 C
2383,O =C Branch1 =C C O C =C C =C Branch1 C Cl C =C Ring1 #Branch1 O C C N C C C C C Branch1 O C C Branch1 Ring2 C Ring1 =Branch1 C Ring1 =Branch2 C Ring1 #Branch2
1420,C C C =Branch1 C =O N Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 C Branch1 Ring2 C O C C C N Branch1 #C C C N N =N N Branch1 Ring1 C C C Ring1 #Branch1 =O C C Ring2 Ring1 Ring1
2778,C C Branch1 C C Branch1 C C N C C@@H1 Branch1 C O C =C C =C Branch1 C O C Branch1 #Branch1 N C Branch1 C N =O =C Ring1 O
1390,C C =N C =C C =C C =C Ring1 =Branch1 C C Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 N Ring1 P C
6882,C C =Branch1 C =O N C C@@H1 O C@@H1 Branch2 Ring2 =Branch2 O C@H1 C@@H1 Branch1 C N C C@H1 Branch1 C N C@H1 Branch2 Ring1 Branch1 O C@@H1 O C@@H1 Branch1 Ring1 C O C@@H1 Branch1 C O C@H1 Branch1 C N C@@H1 Ring1 #Branch2 O C@@H1 Ring2 Ring1 Ring2 O C@@H1 Branch1 C O C@@H1 Branch1 C O C@@H1 Ring2 Ring1 =C O
4564,C O C =C C =C C =Branch1 =Branch1 =C Ring1 =Branch1 O C C =Branch1 C =O O C Ring1 =Branch2 C C =C Branch1 S C =C C =Branch1 =Branch1 =C Ring1 =Branch1 O C O C O Ring1 Branch2 C C N Ring1 #C C
2267,F C =C C =C NH1 C =C Branch1 #Branch1 C Ring1 Branch1 =C Ring1 =Branch2 C N Branch1 O C C C =C C =N C =C Ring1 =Branch1 C C Ring1 S
3723,O =C Branch1 S C C =C C =C Branch1 C Cl C Branch1 C Cl =C Ring1 Branch2 N C C C O C =C C =Ring1 Branch1 C@H1 Ring1 =Branch2 C N C C C Branch1 C O C Ring1 =Branch1
2103,C C@@H1 C C C C C@H1 Branch1 C F C =C C =Branch1 C =O C =C C Ring1 #Branch1 Branch1 C C C@@ Ring1 =N Branch1 C F C Branch1 C O C C Ring2 Ring1 Ring1 Branch1 C C C Ring2 Ring1 #Branch1 C =Branch1 C =O C O
1417,C C C =Branch1 C =O N Branch1 #C C =C C =C Branch1 C Cl C Branch1 C Cl =C Ring1 Branch2 C@@H1 C C C C@H1 Ring1 Branch1 N Branch1 C C C
3978,C O C =C C =C Branch2 Ring2 Ring2 C@@H1 C@H1 Branch2 Ring1 Ring1 S =Branch1 C =O =Branch1 C =O C =C C =C Branch1 C C C =C Ring1 #Branch1 C@@ Ring1 =N Branch1 Ring1 C #N C =Branch1 C =O O C =C Ring2 Ring1 Branch2
2547,O C C =C C =C C =C Ring1 =Branch1
3517,C C@@H1 N C =Branch1 C =O C O C@H1 Ring1 #Branch1 C =C C =C C =C Ring1 =Branch1
3300,C N C@H1 C@H1 Branch1 C O C@H1 Branch2 Branch1 Ring1 O C@H1 C@@H1 Branch1 N N C =Branch1 C =O C@@H1 Branch1 C O C N C C@H1 Branch1 C N C@H1 Branch2 Ring1 Branch1 O C@@H1 O C@@H1 Branch1 Ring1 C N C@@H1 Branch1 C O C@H1 Branch1 C O C@@H1 Ring1 #Branch2 O C@@H1 Ring2 Ring1 #Branch2 O O C C Ring2 Ring2 Ring1 Branch1 C C O
6441,C N C@H1 C@H1 Branch1 C O C@H1 Branch2 Ring2 C O C@@H1 C@@H1 Branch1 C N C C@@H1 Branch1 C N C@H1 Branch1 #C O C@@H1 O C@@H1 Branch1 Ring1 C N C C C@@H1 Ring1 Branch2 N C@H1 Ring2 Ring1 C O O C C@@ Ring2 Ring1 O Branch1 C C O
3262,C N C =C C =C Branch1 C Cl C =C Ring1 #Branch1 C Branch1 #Branch2 C =C C =C C =C Ring1 =Branch1 Cl =N C C@H1 Ring2 Ring1 Ring1 C O
7165,C C N C@H1 C@H1 C C C@@H1 Branch1 Ring2 C Ring1 Branch1 C@H1 Ring1 #Branch1 C =C C =C C =C Ring1 =Branch1
1658,C C O C =C C =C C =C Ring1 =Branch1 O C@@H1 Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 C@@H1 C N C C O Ring1 =Branch1
5525,C C@ C C C@@H1 C =C C =C Branch1 #C O C =Branch1 C =O N Branch1 Ring2 C C Cl C C Cl C =C Ring1 S C C C@H1 Ring2 Ring1 Ring2 C@@H1 Ring2 Ring1 Branch2 C C C@@H1 Ring2 Ring1 O O
6384,C N C C C C@@H1 Branch2 Ring1 =Branch1 C N C =C C =C C =C Ring1 =Branch1 S C =C C =C C =C Ring1 =Branch1 Ring1 =C C Ring2 Ring1 Branch1
5172,C C C Branch1 C C C =Branch1 C =O O C C C Branch1 C C C =C C =C C Branch1 C C C Branch1 P C C C C C Branch1 C O C C =Branch1 C =O O Ring1 Branch2 C Ring1 P Ring2 Ring1 =Branch1
